# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
38791	px	d.50.1.2	d1hnze2	1hnz E:5-73
79896	px	d.50.1.2	d1n33e2	1n33 E:5-73
62040	px	d.50.1.2	d1i96e2	1i96 E:2-73
79918	px	d.50.1.2	d1n34e2	1n34 E:5-73
62063	px	d.50.1.2	d1i97e2	1i97 E:2-73
79941	px	d.50.1.2	d1n36e2	1n36 E:5-73
62018	px	d.50.1.2	d1i95e2	1i95 E:2-73
54782	sf	d.50.2	-	Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
54783	fa	d.50.2.1	-	Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
54784	dm	d.50.2.1	-	Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain
54785	sp	d.50.2.1	-	Escherichia coli
38794	px	d.50.2.1	d1pda_2	1pda 220-307
76347	px	d.50.2.1	d1gtka2	1gtk A:220-313
38795	px	d.50.2.1	d1ah5_2	1ah5 220-313
38796	px	d.50.2.1	d2ypna2	2ypn A:220-313
38797	px	d.50.2.1	d1ypn_2	1ypn 220-306
54786	sf	d.50.3	-	PI-Pfui intein middle domain
54787	fa	d.50.3.1	-	PI-Pfui intein middle domain
54788	dm	d.50.3.1	-	PI-Pfui intein middle domain
54789	sp	d.50.3.1	-	Archaeon Pyrococcus furiosus
38798	px	d.50.3.1	d1dq3a2	1dq3 A:336-414
110916	sf	d.50.4	-	Peptidyl-tRNA hydrolase domain-like
110917	fa	d.50.4.1	-	Peptidyl-tRNA hydrolase domain (Pfam 00472)
110918	dm	d.50.4.1	-	Ict1 protein
110919	sp	d.50.4.1	-	Mouse (Mus musculus)
103823	px	d.50.4.1	d1j26a_	1j26 A:
110920	cf	d.270	-	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
110921	sf	d.270.1	-	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
110922	fa	d.270.1.1	-	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
110923	dm	d.270.1.1	-	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
110924	sp	d.270.1.1	-	Mycobacterium tuberculosis
105962	px	d.270.1.1	d1sr9a3	1sr9 A:492-643
105965	px	d.270.1.1	d1sr9b3	1sr9 B:492-643
69694	cf	d.201	-	SRP19
69695	sf	d.201.1	-	SRP19
69696	fa	d.201.1.1	-	SRP19
69697	dm	d.201.1.1	-	SRP19
69698	sp	d.201.1.1	-	Human (Homo sapiens)
66735	px	d.201.1.1	d1jida_	1jid A:
79045	px	d.201.1.1	d1mfqb_	1mfq B:
75416	sp	d.201.1.1	-	Archaeon Archaeoglobus fulgidus
73066	px	d.201.1.1	d1kvna_	1kvn A:
73067	px	d.201.1.1	d1kvva_	1kvv A:
75417	sp	d.201.1.1	-	Archaeon Methanococcus jannaschii
74045	px	d.201.1.1	d1lnga_	1lng A:
73710	px	d.201.1.1	d1l9aa_	1l9a A:
82648	cf	d.224	-	SufE/NifU
82649	sf	d.224.1	-	SufE/NifU
82650	fa	d.224.1.1	-	SufE-like
82651	dm	d.224.1.1	-	SufE (YhnA)
82652	sp	d.224.1.1	-	Escherichia coli
79696	px	d.224.1.1	d1mzga_	1mzg A:
79697	px	d.224.1.1	d1mzgb_	1mzg B:
89912	dm	d.224.1.1	-	Hypothetical protein YgdK
89913	sp	d.224.1.1	-	Escherichia coli
85738	px	d.224.1.1	d1ni7a_	1ni7 A:
102928	fa	d.224.1.2	-	NifU/IscU domain
102929	dm	d.224.1.2	-	NifU-like protein HI0377
102930	sp	d.224.1.2	-	Haemophilis influenzae
95783	px	d.224.1.2	d1q48a_	1q48 A:
110925	dm	d.224.1.2	-	IscU homolog SPy0289
110926	sp	d.224.1.2	-	Streptococcus pyogenes
106015	px	d.224.1.2	d1su0b_	1su0 B:
89914	cf	d.236	-	DNA-binding protein Tfx
89915	sf	d.236.1	-	DNA-binding protein Tfx
89916	fa	d.236.1.1	-	DNA-binding protein Tfx
89917	dm	d.236.1.1	-	DNA-binding protein Tfx
89918	sp	d.236.1.1	-	Archaeon Methanobacterium thermoautotrophicum
86092	px	d.236.1.1	d1nr3a_	1nr3 A:
54790	cf	d.51	-	Eukaryotic type KH-domain (KH-domain type I)
54791	sf	d.51.1	-	Eukaryotic type KH-domain (KH-domain type I)
54792	fa	d.51.1.1	-	Eukaryotic type KH-domain (KH-domain type I)
54793	dm	d.51.1.1	-	Neuro-oncological ventral antigen 1, nova-1, KH3
54794	sp	d.51.1.1	-	Human (Homo sapiens)
38799	px	d.51.1.1	d1dt4a_	1dt4 A:
54795	dm	d.51.1.1	-	Neuro-oncological ventral antigen 2, nova-2, KH3
54796	sp	d.51.1.1	-	Human (Homo sapiens)
38800	px	d.51.1.1	d1dtja_	1dtj A:
38801	px	d.51.1.1	d1dtjb_	1dtj B:
38802	px	d.51.1.1	d1dtjc_	1dtj C:
38803	px	d.51.1.1	d1dtjd_	1dtj D:
38804	px	d.51.1.1	d1ec6a_	1ec6 A:
38805	px	d.51.1.1	d1ec6b_	1ec6 B:
54797	dm	d.51.1.1	-	Vigilin, KH6
54798	sp	d.51.1.1	-	Human (Homo sapiens)
38806	px	d.51.1.1	d1vig__	1vig -
38807	px	d.51.1.1	d1vih__	1vih -
54799	dm	d.51.1.1	-	Fragile X protein, KH1
54800	sp	d.51.1.1	-	Human (Homo sapiens)
38808	px	d.51.1.1	d2fmr__	2fmr -
54801	dm	d.51.1.1	-	HnRNP K, KH3
54802	sp	d.51.1.1	-	Human (Homo sapiens)
38809	px	d.51.1.1	d1khma_	1khm A:
71565	px	d.51.1.1	d1j5ka_	1j5k A:
69699	dm	d.51.1.1	-	RNA splicing factor 1
69700	sp	d.51.1.1	-	Human (Homo sapiens)
68015	px	d.51.1.1	d1k1ga_	1k1g A:
75418	dm	d.51.1.1	-	Far upstream binding element, FBP, KH3 and KH4 domains
75419	sp	d.51.1.1	-	Human (Homo sapiens)
71529	px	d.51.1.1	d1j4wa1	1j4w A:1-74
71530	px	d.51.1.1	d1j4wa2	1j4w A:104-174
110927	dm	d.51.1.1	-	Hypothetical protein APE0754
110928	sp	d.51.1.1	-	Aeropyrum pernix
107321	px	d.51.1.1	d1tuaa1	1tua A:1-84
107322	px	d.51.1.1	d1tuaa2	1tua A:85-188
54805	cf	d.52	-	Alpha-lytic protease prodomain-like
54806	sf	d.52.1	-	Alpha-lytic protease prodomain
54807	fa	d.52.1.1	-	Alpha-lytic protease prodomain
54808	dm	d.52.1.1	-	Alpha-lytic protease prodomain
54809	sp	d.52.1.1	-	Lysobacter enzymogenes
38812	px	d.52.1.1	d3proc1	3pro C:6-85
38813	px	d.52.1.1	d3proc2	3pro C:86-163
38814	px	d.52.1.1	d3prod1	3pro D:3-85
38815	px	d.52.1.1	d3prod2	3pro D:86-163
38816	px	d.52.1.1	d4proc1	4pro C:6-85
38817	px	d.52.1.1	d4proc2	4pro C:86-166
38818	px	d.52.1.1	d4prod1	4pro D:5-85
38819	px	d.52.1.1	d4prod2	4pro D:86-166
38820	px	d.52.1.1	d2proa1	2pro A:5-85
38821	px	d.52.1.1	d2proa2	2pro A:86-158
38822	px	d.52.1.1	d2prob1	2pro B:4-85
38823	px	d.52.1.1	d2prob2	2pro B:86-158
38824	px	d.52.1.1	d2proc1	2pro C:18-85
38825	px	d.52.1.1	d2proc2	2pro C:86-158
54810	sf	d.52.2	-	GMP synthetase C-terminal dimerisation domain
54811	fa	d.52.2.1	-	GMP synthetase C-terminal dimerisation domain
54812	dm	d.52.2.1	-	GMP synthetase C-terminal dimerisation domain
54813	sp	d.52.2.1	-	Escherichia coli
38826	px	d.52.2.1	d1gpma3	1gpm A:405-525
38827	px	d.52.2.1	d1gpmb3	1gpm B:405-525
38828	px	d.52.2.1	d1gpmc3	1gpm C:405-525
38829	px	d.52.2.1	d1gpmd3	1gpm D:405-525
54814	sf	d.52.3	-	Prokaryotic type KH domain (KH-domain type II)
54815	fa	d.52.3.1	-	Prokaryotic type KH domain (KH-domain type II)
54816	dm	d.52.3.1	-	Ribosomal protein S3 N-terminal domain
54817	sp	d.52.3.1	-	Thermus thermophilus
71544	px	d.52.3.1	d1j5ec1	1j5e C:2-106
38831	px	d.52.3.1	d1fjgc1	1fjg C:2-106
79870	px	d.52.3.1	d1n32c1	1n32 C:2-106
38832	px	d.52.3.1	d1hr0c1	1hr0 C:2-106
61992	px	d.52.3.1	d1i94c1	1i94 C:2-106
38835	px	d.52.3.1	d1hnxc1	1hnx C:2-106
38834	px	d.52.3.1	d1hnwc1	1hnw C:2-106
38833	px	d.52.3.1	d1hnzc1	1hnz C:2-106
79892	px	d.52.3.1	d1n33c1	1n33 C:2-106
62036	px	d.52.3.1	d1i96c1	1i96 C:2-106
79914	px	d.52.3.1	d1n34c1	1n34 C:2-106
62059	px	d.52.3.1	d1i97c1	1i97 C:2-106
79937	px	d.52.3.1	d1n36c1	1n36 C:2-106
62014	px	d.52.3.1	d1i95c1	1i95 C:2-106
54818	dm	d.52.3.1	-	GTPase Era C-terminal domain
54819	sp	d.52.3.1	-	Escherichia coli
38836	px	d.52.3.1	d1egaa2	1ega A:183-295
38837	px	d.52.3.1	d1egab2	1ega B:183-296
69701	dm	d.52.3.1	-	Transcription factor NusA, C-terminal domains
69702	sp	d.52.3.1	-	Thermotoga maritima
65836	px	d.52.3.1	d1hh2p2	1hh2 P:199-276
65837	px	d.52.3.1	d1hh2p3	1hh2 P:277-344
91045	px	d.52.3.1	d1l2fa2	1l2f A:199-276
91046	px	d.52.3.1	d1l2fa3	1l2f A:277-344
69703	sp	d.52.3.1	-	Mycobacterium tuberculosis
67962	px	d.52.3.1	d1k0ra2	1k0r A:184-262
67963	px	d.52.3.1	d1k0ra3	1k0r A:263-329
67966	px	d.52.3.1	d1k0rb2	1k0r B:184-262
67967	px	d.52.3.1	d1k0rb3	1k0r B:263-329
54803	dm	d.52.3.1	-	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 6
54804	sp	d.52.3.1	-	Streptomyces antibioticus
38810	px	d.52.3.1	d1e3ha4	1e3h A:579-632
38811	px	d.52.3.1	d1e3pa5	1e3p A:579-634
82653	sf	d.52.5	-	Probable GTPase Der, C-terminal domain
82654	fa	d.52.5.1	-	Probable GTPase Der, C-terminal domain
82655	dm	d.52.5.1	-	Probable GTPase Der, C-terminal domain
82656	sp	d.52.5.1	-	Thermotoga maritima
79252	px	d.52.5.1	d1mkya3	1mky A:359-439
89919	sf	d.52.7	-	Ribosome-binding factor A, RbfA
89920	fa	d.52.7.1	-	Ribosome-binding factor A, RbfA
89921	dm	d.52.7.1	-	Ribosome-binding factor A, RbfA
89922	sp	d.52.7.1	-	Escherichia coli
84411	px	d.52.7.1	d1kkga_	1kkg A:
89923	sp	d.52.7.1	-	Haemophilus influenzae
84191	px	d.52.7.1	d1josa_	1jos A:
102931	sp	d.52.7.1	-	Mycoplasma pneumoniae
94409	px	d.52.7.1	d1pa4a_	1pa4 A:
75420	sf	d.52.4	-	YhbC-like, N-terminal domain
75421	fa	d.52.4.1	-	YhbC-like, N-terminal domain
75422	dm	d.52.4.1	-	Hypothetical protein SP14.3 (SP0552)
75423	sp	d.52.4.1	-	Streptococcus pneumoniae
71169	px	d.52.4.1	d1ib8a2	1ib8 A:1-90
82657	sf	d.52.6	-	BolA-like
82658	fa	d.52.6.1	-	BolA-like
82659	dm	d.52.6.1	-	BolA-like protein
82660	sp	d.52.6.1	-	Mouse (Mus musculus)
100542	px	d.52.6.1	d1v9ja_	1v9j A:
110929	dm	d.52.6.1	-	Hypothetical protein YrbA
110930	sp	d.52.6.1	-	Escherichia coli
103876	px	d.52.6.1	d1ny8a_	1ny8 A:
81302	cf	d.218	-	Nucleotidyltransferase
81301	sf	d.218.1	-	Nucleotidyltransferase
102932	fa	d.218.1.5	-	Catalytic subunit of bi-partite nucleotidyltransferase
102933	dm	d.218.1.5	-	Hypothetical protein HI0073
102934	sp	d.218.1.5	-	Haemophilus influenzae
92014	px	d.218.1.5	d1no5a_	1no5 A:
92015	px	d.218.1.5	d1no5b_	1no5 B:
102935	dm	d.218.1.5	-	Unnamed putative nucleotidyltransferase
102936	sp	d.218.1.5	-	Thermus thermophilus
109470	px	d.218.1.5	d1wota_	1wot A:
56708	fa	d.218.1.1	-	Kanamycin nucleotidyltransferase (KNTase), N-terminal domain
56709	dm	d.218.1.1	-	Kanamycin nucleotidyltransferase (KNTase), N-terminal domain
56710	sp	d.218.1.1	-	Staphylococcus aureus
75897	px	d.218.1.1	d1knya2	1kny A:1-125
75899	px	d.218.1.1	d1knyb2	1kny B:1-125
75879	px	d.218.1.1	d1kana2	1kan A:1-125
75881	px	d.218.1.1	d1kanb2	1kan B:1-125
81589	fa	d.218.1.3	-	Poly(A) polymerase, PAP, N-terminal domain
81588	dm	d.218.1.3	-	Poly(A) polymerase, PAP, N-terminal domain
81586	sp	d.218.1.3	-	Baker's yeast (Saccharomyces cerevisiae)
75838	px	d.218.1.3	d1fa0a4	1fa0 A:3-201
75840	px	d.218.1.3	d1fa0b4	1fa0 B:2-201
81587	sp	d.218.1.3	-	Cow (Bos taurus)
104549	px	d.218.1.3	d1q79a2	1q79 A:19-214
75836	px	d.218.1.3	d1f5aa4	1f5a A:20-214
104546	px	d.218.1.3	d1q78a2	1q78 A:19-214
102937	fa	d.218.1.6	-	2'-5'-oligoadenylate synthetase 1, OAS1, N-terminal domain
102938	dm	d.218.1.6	-	2'-5'-oligoadenylate synthetase 1, OAS1, N-terminal domain
102939	sp	d.218.1.6	-	Pig (Sus scrofa)
95278	px	d.218.1.6	d1px5a2	1px5 A:1-200
95280	px	d.218.1.6	d1px5b2	1px5 B:1-200
102940	fa	d.218.1.7	-	Archaeal tRNA CCA-adding enzyme catalytic domain
102941	dm	d.218.1.7	-	tRNA nucleotidyltransferase, N-terminal domain
102942	sp	d.218.1.7	-	Archaeon Archaeoglobus fulgidus
97222	px	d.218.1.7	d1r89a2	1r89 A:1-142
97231	px	d.218.1.7	d1r8ca2	1r8c A:1-142
99273	px	d.218.1.7	d1ueta2	1uet A:2-142
97228	px	d.218.1.7	d1r8ba2	1r8b A:1-142
99276	px	d.218.1.7	d1ueua2	1ueu A:2-142
97225	px	d.218.1.7	d1r8aa2	1r8a A:1-142
106863	px	d.218.1.7	d1tfwa2	1tfw A:1-142
106866	px	d.218.1.7	d1tfwb2	1tfw B:1-142
106869	px	d.218.1.7	d1tfwc2	1tfw C:1-142
106872	px	d.218.1.7	d1tfwd2	1tfw D:1-142
99279	px	d.218.1.7	d1ueva2	1uev A:2-142
106875	px	d.218.1.7	d1tfya2	1tfy A:1-142
106878	px	d.218.1.7	d1tfyb2	1tfy B:1-142
106881	px	d.218.1.7	d1tfyc2	1tfy C:1-142
106884	px	d.218.1.7	d1tfyd2	1tfy D:1-142
106134	px	d.218.1.7	d1sz1a2	1sz1 A:1-142
106137	px	d.218.1.7	d1sz1b2	1sz1 B:1-142
81300	fa	d.218.1.2	-	DNA polymerase beta-like
81578	dm	d.218.1.2	-	DNA polymerase beta, catalytic (31 kD) fragment
81574	sp	d.218.1.2	-	Human (Homo sapiens)
75820	px	d.218.1.2	d1bpya4	1bpy A:149-335
75936	px	d.218.1.2	d1zqaa4	1zqa A:149-335
76130	px	d.218.1.2	d9icwa4	9icw A:149-335
76106	px	d.218.1.2	d9icka4	9ick A:149-335
76132	px	d.218.1.2	d9icxa4	9icx A:149-335
76063	px	d.218.1.2	d8icoa4	8ico A:149-335
76108	px	d.218.1.2	d9icla4	9icl A:149-335
76009	px	d.218.1.2	d7icia4	7ici A:149-335
75966	px	d.218.1.2	d1zqpa4	1zqp A:149-335
75952	px	d.218.1.2	d1zqia4	1zqi A:149-335
76055	px	d.218.1.2	d8icka4	8ick A:149-335
76019	px	d.218.1.2	d7icna4	7icn A:149-335
76001	px	d.218.1.2	d7icea4	7ice A:149-335
76128	px	d.218.1.2	d9icva4	9icv A:149-335
76114	px	d.218.1.2	d9icoa4	9ico A:149-335
76110	px	d.218.1.2	d9icma4	9icm A:149-335
76035	px	d.218.1.2	d7icva4	7icv A:149-335
79399	px	d.218.1.2	d1mq3a3	1mq3 A:149-335
76013	px	d.218.1.2	d7icka4	7ick A:149-335
76051	px	d.218.1.2	d8icia4	8ici A:149-335
76007	px	d.218.1.2	d7icha4	7ich A:149-335
76031	px	d.218.1.2	d7icta4	7ict A:149-335
76025	px	d.218.1.2	d7icqa4	7icq A:149-335
76061	px	d.218.1.2	d8icna4	8icn A:149-335
76126	px	d.218.1.2	d9icua4	9icu A:149-335
76122	px	d.218.1.2	d9icsa4	9ics A:149-335
76118	px	d.218.1.2	d9icqa4	9icq A:149-335
76017	px	d.218.1.2	d7icma4	7icm A:149-335
76071	px	d.218.1.2	d8icsa4	8ics A:149-335
76112	px	d.218.1.2	d9icna4	9icn A:149-335
76041	px	d.218.1.2	d8icca4	8icc A:149-335
76085	px	d.218.1.2	d8icza4	8icz A:149-335
76081	px	d.218.1.2	d8icxa4	8icx A:149-335
76098	px	d.218.1.2	d9icga4	9icg A:149-335
76100	px	d.218.1.2	d9icha4	9ich A:149-335
76104	px	d.218.1.2	d9icja4	9icj A:149-335
76065	px	d.218.1.2	d8icpa4	8icp A:149-335
76069	px	d.218.1.2	d8icra4	8icr A:149-335
76120	px	d.218.1.2	d9icra4	9icr A:149-335
76124	px	d.218.1.2	d9icta4	9ict A:149-335
76067	px	d.218.1.2	d8icqa4	8icq A:149-335
76027	px	d.218.1.2	d7icra4	7icr A:149-335
76005	px	d.218.1.2	d7icga4	7icg A:149-335
76023	px	d.218.1.2	d7icpa4	7icp A:149-335
75956	px	d.218.1.2	d1zqka4	1zqk A:149-335
76037	px	d.218.1.2	d8icaa4	8ica A:149-335
76059	px	d.218.1.2	d8icma4	8icm A:149-335
76039	px	d.218.1.2	d8icba4	8icb A:149-335
76003	px	d.218.1.2	d7icfa4	7icf A:149-335
76015	px	d.218.1.2	d7icla4	7icl A:149-335
76092	px	d.218.1.2	d9icca4	9icc A:149-335
76090	px	d.218.1.2	d9icba4	9icb A:149-335
76047	px	d.218.1.2	d8icga4	8icg A:149-335
76045	px	d.218.1.2	d8icfa4	8icf A:149-335
76029	px	d.218.1.2	d7icsa4	7ics A:149-335
75946	px	d.218.1.2	d1zqfa4	1zqf A:149-335
76096	px	d.218.1.2	d9icfa4	9icf A:149-335
76088	px	d.218.1.2	d9icaa4	9ica A:149-335
75948	px	d.218.1.2	d1zqga4	1zqg A:149-335
75960	px	d.218.1.2	d1zqma4	1zqm A:149-335
75938	px	d.218.1.2	d1zqba4	1zqb A:149-335
76083	px	d.218.1.2	d8icya4	8icy A:149-335
76134	px	d.218.1.2	d9icya4	9icy A:149-335
75962	px	d.218.1.2	d1zqna4	1zqn A:149-335
76057	px	d.218.1.2	d8icla4	8icl A:149-335
75964	px	d.218.1.2	d1zqoa4	1zqo A:149-335
76075	px	d.218.1.2	d8icua4	8icu A:149-335
76077	px	d.218.1.2	d8icva4	8icv A:149-335
76053	px	d.218.1.2	d8icja4	8icj A:149-335
76021	px	d.218.1.2	d7icoa4	7ico A:149-335
75818	px	d.218.1.2	d1bpxa4	1bpx A:149-335
79396	px	d.218.1.2	d1mq2a3	1mq2 A:149-335
75940	px	d.218.1.2	d1zqca4	1zqc A:149-335
76116	px	d.218.1.2	d9icpa4	9icp A:149-335
75972	px	d.218.1.2	d1zqsa4	1zqs A:149-335
75958	px	d.218.1.2	d1zqla4	1zql A:149-335
76102	px	d.218.1.2	d9icia4	9ici A:149-335
76073	px	d.218.1.2	d8icta4	8ict A:149-335
76049	px	d.218.1.2	d8icha4	8ich A:149-335
75942	px	d.218.1.2	d1zqda4	1zqd A:149-335
75822	px	d.218.1.2	d1bpza4	1bpz A:149-335
76079	px	d.218.1.2	d8icwa4	8icw A:149-335
76043	px	d.218.1.2	d8icea4	8ice A:149-335
76033	px	d.218.1.2	d7icua4	7icu A:149-335
75968	px	d.218.1.2	d1zqqa4	1zqq A:149-335
76011	px	d.218.1.2	d7icja4	7icj A:149-335
75974	px	d.218.1.2	d1zqta4	1zqt A:149-335
75944	px	d.218.1.2	d1zqea4	1zqe A:149-335
75954	px	d.218.1.2	d1zqja4	1zqj A:149-335
76094	px	d.218.1.2	d9icea4	9ice A:149-335
75970	px	d.218.1.2	d1zqra4	1zqr A:149-335
75950	px	d.218.1.2	d1zqha4	1zqh A:149-335
81576	sp	d.218.1.2	-	Rat (Rattus norvegicus)
75984	px	d.218.1.2	d1zqy_2	1zqy 149-335
75980	px	d.218.1.2	d1zqw_2	1zqw 149-335
75934	px	d.218.1.2	d1rpl_2	1rpl 149-335
75812	px	d.218.1.2	d1bpb_2	1bpb 149-335
75976	px	d.218.1.2	d1zqu_2	1zqu 149-335
75982	px	d.218.1.2	d1zqx_2	1zqx 149-335
75990	px	d.218.1.2	d2bpc_2	2bpc 149-335
75986	px	d.218.1.2	d1zqz_2	1zqz 149-335
75930	px	d.218.1.2	d1nom_2	1nom 149-335
75992	px	d.218.1.2	d2bpfa4	2bpf A:149-335
75978	px	d.218.1.2	d1zqv_2	1zqv 149-335
75994	px	d.218.1.2	d2bpga4	2bpg A:149-335
75996	px	d.218.1.2	d2bpgb4	2bpg B:149-335
75814	px	d.218.1.2	d1bpd_4	1bpd 149-335
75816	px	d.218.1.2	d1bpe_4	1bpe 149-335
75865	px	d.218.1.2	d1jn3a2	1jn3 A:149-335
75847	px	d.218.1.2	d1huoa4	1huo A:149-334
75849	px	d.218.1.2	d1huob4	1huo B:149-334
75851	px	d.218.1.2	d1huza4	1huz A:149-334
75853	px	d.218.1.2	d1huzb4	1huz B:149-334
81581	dm	d.218.1.2	-	Terminal deoxynucleotidyl transferase
81580	sp	d.218.1.2	-	Mouse (Mus musculus)
75863	px	d.218.1.2	d1jmsa4	1jms A:303-510
75883	px	d.218.1.2	d1kdha4	1kdh A:303-510
75885	px	d.218.1.2	d1keja4	1kej A:303-510
102943	dm	d.218.1.2	-	DNA polymerase lambda
102944	sp	d.218.1.2	-	Human (Homo sapiens)
98226	px	d.218.1.2	d1rzta3	1rzt A:386-575
98229	px	d.218.1.2	d1rzte3	1rzt E:386-575
98232	px	d.218.1.2	d1rzti3	1rzt I:386-575
98235	px	d.218.1.2	d1rztm3	1rzt M:386-575
69885	dm	d.218.1.2	-	DNA polymerase X
69886	sp	d.218.1.2	-	African swine fever virus
66471	px	d.218.1.2	d1jaja_	1jaj A:
67107	px	d.218.1.2	d1jqra_	1jqr A:
82661	fa	d.218.1.4	-	Poly A polymerase head domain-like
82662	dm	d.218.1.4	-	tRNA CCA-adding enzyme, head domain
82663	sp	d.218.1.4	-	Bacillus stearothermophilus
79163	px	d.218.1.4	d1miwa2	1miw A:1-139
79165	px	d.218.1.4	d1miwb2	1miw B:1-139
79159	px	d.218.1.4	d1miva2	1miv A:1-139
79161	px	d.218.1.4	d1mivb2	1miv B:1-139
79169	px	d.218.1.4	d1miya2	1miy A:1-139
79171	px	d.218.1.4	d1miyb2	1miy B:1-139
89924	sp	d.218.1.4	-	Human (Homo sapiens), mitochondrial
87446	px	d.218.1.4	d1ou5a2	1ou5 A:-1-150
87448	px	d.218.1.4	d1ou5b2	1ou5 B:-1-150
110931	dm	d.218.1.4	-	Poly A polymerase PcnB
110932	sp	d.218.1.4	-	Aquifex aeolicus
108571	px	d.218.1.4	d1vfga2	1vfg A:1-136
108573	px	d.218.1.4	d1vfgb2	1vfg B:1-136
102945	fa	d.218.1.8	-	RelA/SpoT domain
102946	dm	d.218.1.8	-	Stringent response-like protein RelA domain 2
102947	sp	d.218.1.8	-	Streptococcus equisimilis
100802	px	d.218.1.8	d1vj7a2	1vj7 A:197-371
100804	px	d.218.1.8	d1vj7b2	1vj7 B:197-370
110933	fa	d.218.1.9	-	GlnE-like domain (Pfam 03710)
110934	dm	d.218.1.9	-	Glutamine synthase adenylyltransferase GlnE, N-terminal domain
110935	sp	d.218.1.9	-	Escherichia coli
108351	px	d.218.1.9	d1v4aa2	1v4a A:2-286
54820	cf	d.53	-	Ribosomal protein S3 C-terminal domain
54821	sf	d.53.1	-	Ribosomal protein S3 C-terminal domain
54822	fa	d.53.1.1	-	Ribosomal protein S3 C-terminal domain
54823	dm	d.53.1.1	-	Ribosomal protein S3 C-terminal domain
54824	sp	d.53.1.1	-	Thermus thermophilus
71545	px	d.53.1.1	d1j5ec2	1j5e C:107-207
38839	px	d.53.1.1	d1fjgc2	1fjg C:107-207
79871	px	d.53.1.1	d1n32c2	1n32 C:107-207
38840	px	d.53.1.1	d1hr0c2	1hr0 C:107-207
61993	px	d.53.1.1	d1i94c2	1i94 C:107-207
38843	px	d.53.1.1	d1hnxc2	1hnx C:107-207
38842	px	d.53.1.1	d1hnwc2	1hnw C:107-207
38841	px	d.53.1.1	d1hnzc2	1hnz C:107-207
79893	px	d.53.1.1	d1n33c2	1n33 C:107-207
62037	px	d.53.1.1	d1i96c2	1i96 C:107-207
79915	px	d.53.1.1	d1n34c2	1n34 C:107-207
62060	px	d.53.1.1	d1i97c2	1i97 C:107-207
79938	px	d.53.1.1	d1n36c2	1n36 C:107-207
62015	px	d.53.1.1	d1i95c2	1i95 C:107-207
69704	cf	d.202	-	Transcription factor NusA, N-terminal domain
69705	sf	d.202.1	-	Transcription factor NusA, N-terminal domain
69706	fa	d.202.1.1	-	Transcription factor NusA, N-terminal domain
69707	dm	d.202.1.1	-	Transcription factor NusA, N-terminal domain
69708	sp	d.202.1.1	-	Thermotoga maritima
65838	px	d.202.1.1	d1hh2p4	1hh2 P:1-126
91047	px	d.202.1.1	d1l2fa4	1l2f A:1-126
69709	sp	d.202.1.1	-	Mycobacterium tuberculosis
67964	px	d.202.1.1	d1k0ra4	1k0r A:-4-99
67968	px	d.202.1.1	d1k0rb4	1k0r B:-4-99
54825	cf	d.54	-	Enolase N-terminal domain-like
54826	sf	d.54.1	-	Enolase N-terminal domain-like
54827	fa	d.54.1.1	-	Enolase N-terminal domain-like
54828	dm	d.54.1.1	-	Enolase
54829	sp	d.54.1.1	-	Baker's yeast (Saccharomyces cerevisiae)
94073	px	d.54.1.1	d1p43a2	1p43 A:1-141
94075	px	d.54.1.1	d1p43b2	1p43 B:501-641
38844	px	d.54.1.1	d1onea2	1one A:1-141
38845	px	d.54.1.1	d1oneb2	1one B:1-141
38846	px	d.54.1.1	d4enl_2	4enl 1-141
38847	px	d.54.1.1	d2onea2	2one A:1-141
38848	px	d.54.1.1	d2oneb2	2one B:1-141
94086	px	d.54.1.1	d1p48a2	1p48 A:1-141
94088	px	d.54.1.1	d1p48b2	1p48 B:501-641
38849	px	d.54.1.1	d1ebha2	1ebh A:1-141
38850	px	d.54.1.1	d1ebhb2	1ebh B:1-141
73693	px	d.54.1.1	d1l8pa2	1l8p A:1-141
73695	px	d.54.1.1	d1l8pb2	1l8p B:501-641
73697	px	d.54.1.1	d1l8pc2	1l8p C:1001-1141
73699	px	d.54.1.1	d1l8pd2	1l8p D:1501-1641
38851	px	d.54.1.1	d5enl_2	5enl 1-141
38852	px	d.54.1.1	d6enl_2	6enl 1-141
38855	px	d.54.1.1	d3enl_2	3enl 1-141
38853	px	d.54.1.1	d1ebga2	1ebg A:1-141
38854	px	d.54.1.1	d1ebgb2	1ebg B:1-141
38856	px	d.54.1.1	d7enl_2	7enl 1-141
38857	px	d.54.1.1	d1els_2	1els 1-141
38858	px	d.54.1.1	d1nel_2	1nel 1-141
54830	sp	d.54.1.1	-	Lobster (Homarus vulgaris)
